"Libellé";"idBank";"Période";"2001-T4";"2002-T1";"2002-T2";"2002-T3";"2002-T4";"2003-T1";"2003-T2";"2003-T3";"2003-T4";"2004-T1";"2004-T2";"2004-T3";"2004-T4";"2005-T1";"2005-T2";"2005-T3";"2005-T4";"2006-T1";"2006-T2";"2006-T3";"2006-T4";"2007-T1";"2007-T2";"2007-T3";"2007-T4";"2008-T1";"2008-T2";"2008-T3";"2008-T4";"2009-T1";"2009-T2";"2009-T3";"2009-T4";"2010-T1";"2010-T2";"2010-T3";"2010-T4";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - France hors Mayotte";"010567431";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"271615";"270886";"270791";"275006";"276981";"279949";"277791";"263032";"281963";"281623";"281523";"282215";"288084";"294186";"294927";"293773";"291175";"290191";"298584";"295799";"297228";"291383";"299520";"308307";"298899";"304614";"303332";"303944";"303114";"306150";"308017";"308232";"309283";"310652";"312624"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - France hors Mayotte";"010567659";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7776810";"7781998";"7787157";"7776646";"7785969";"7797535";"7810603";"7824826";"7824449";"7828853";"7852938";"7867237";"7926323";"7942780";"7944969";"7956393";"7979782";"7977444";"7997223";"7989264";"8000235";"8003846";"8019672";"8029900";"8036174";"8050247";"8056260";"8046619";"8037415";"8038949";"8020806";"8026140";"8032235";"8033834";"8046375"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - France hors Mayotte";"010568001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24324361";"24371398";"24405357";"24382062";"24398038";"24398939";"24393126";"24358873";"24331672";"24314536";"24289205";"24335506";"24413889";"24424082";"24431395";"24402056";"24429900";"24416586";"24476001";"24491435";"24541137";"24574950";"24642762";"24710409";"24740583";"24835935";"24923757";"24973355";"25068922";"25114396";"25126063";"25172437";"25237121";"25339695";"25395942"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A17-AZ) - France hors Mayotte";"010567545";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"271615";"270886";"270791";"275006";"276981";"279949";"277791";"263032";"281963";"281623";"281523";"282215";"288084";"294186";"294927";"293773";"291175";"290191";"298584";"295799";"297228";"291383";"299520";"308307";"298899";"304614";"303332";"303944";"303114";"306150";"308017";"308232";"309283";"310652";"312624"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A17-OQ) - France hors Mayotte";"010567773";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7776810";"7781998";"7787157";"7776646";"7785969";"7797535";"7810603";"7824826";"7824449";"7828853";"7852938";"7867237";"7926323";"7942780";"7944969";"7956393";"7979782";"7977444";"7997223";"7989264";"8000235";"8003846";"8019672";"8029900";"8036174";"8050247";"8056260";"8046619";"8037415";"8038949";"8020806";"8026140";"8032235";"8033834";"8046375"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - Bourgogne-Franche-Comté";"010567420";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14692";"15132";"14960";"14295";"16067";"15875";"15811";"16119";"16076";"16337";"16746";"19242";"16135";"16718";"16863";"16195";"16529";"16236";"16771";"15116";"16762";"16148";"16695";"25663";"17178";"17766";"17804";"18534";"17623";"17919";"17953";"18330";"18311";"18577";"18857"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - Normandie";"010567421";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13088";"13287";"13702";"13756";"13508";"13953";"13743";"13239";"13944";"14122";"14200";"14081";"14502";"14632";"14979";"14906";"14952";"14995";"15217";"15225";"15220";"15127";"15269";"15004";"15476";"15361";"15458";"15430";"15393";"15570";"15610";"15674";"15787";"15865";"16027"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - Hauts-de-France";"010567422";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20702";"20900";"21138";"21191";"20998";"21217";"20657";"19337";"20383";"20647";"20471";"20460";"20947";"20811";"21083";"20276";"20695";"20656";"21456";"21171";"21001";"20370";"20924";"21531";"21050";"21079";"20916";"21027";"20839";"21034";"21051";"21087";"21155";"21167";"21360"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - Grand Est";"010567423";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24729";"25134";"23718";"24357";"25876";"25937";"25800";"24917";"26390";"26077";"26510";"24391";"25531";"27446";"27018";"28458";"26728";"26539";"27728";"28406";"27135";"26257";"29129";"29593";"27083";"28293";"27616";"27433";"27663";"28655";"28169";"28176";"28608";"29002";"28900"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - Nouvelle-Aquitaine";"010567426";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52843";"52764";"51865";"58789";"55604";"55813";"56220";"52371";"56316";"57932";"57296";"56426";"58762";"59522";"59786";"58466";"58761";"58767";"60240";"62638";"60718";"58956";"60472";"59188";"59943";"59141";"59116";"60209";"60286";"60350";"61049";"60489";"60130";"60017";"60040"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - Occitanie";"010567427";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"27056";"26054";"25352";"26592";"27585";"28324";"28041";"24816";"28225";"26456";"27926";"27789";"27338";"28296";"27928";"28314";"28005";"27938";"28829";"27401";"28659";"28407";"28891";"28880";"29761";"31037";"30145";"30252";"30329";"30098";"31033";"30609";"31190";"31213";"31443"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - Auvergne-Rhône-Alpes";"010567428";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20987";"20921";"22332";"21467";"21051";"21307";"20588";"21913";"21715";"21651";"21127";"21054";"22573";"23117";"23198";"22028";"22867";"22744";"22869";"20532";"23422";"23085";"23181";"24566";"23656";"25110";"25562";"25184";"25157";"25389";"25699";"25912";"26025";"26328";"26790"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Agriculture (A5-AZ) - France métropolitaine";"010599699";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"262456";"261706";"261300";"265941";"267756";"270568";"268426";"253765";"272493";"272209";"272144";"273203";"278797";"284784";"285592";"284457";"281865";"280752";"289206";"286317";"287697";"281952";"290128";"298881";"289425";"295183";"293692";"294434";"294004";"297000";"298764";"298985";"299995";"301443";"303344"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - Bourgogne-Franche-Comté";"010567648";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"339425";"339069";"338714";"338529";"339666";"338872";"338057";"338245";"338026";"339272";"339499";"340324";"342038";"342039";"341858";"341565";"341036";"341718";"342483";"341690";"340637";"339970";"341651";"342108";"341042";"341656";"341557";"340957";"340197";"339290";"337975";"337550";"337565";"336866";"337832"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - Normandie";"010567649";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"386564";"385662";"385986";"385429";"385061";"386213";"387394";"387982";"387677";"388346";"387570";"389216";"389269";"389975";"390220";"391605";"391474";"391895";"392610";"391330";"391380";"391957";"391637";"392294";"391994";"391899";"391536";"390842";"389291";"389346";"388079";"386969";"387707";"387280";"387916"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - Hauts-de-France";"010567650";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"706789";"707548";"706862";"706322";"705688";"707595";"707540";"708689";"707841";"706099";"708122";"710974";"715558";"718177";"717790";"717262";"720717";"719777";"720250";"720562";"720839";"719858";"719393";"720990";"721491";"721759";"721823";"720021";"715153";"715713";"711443";"713335";"711774";"711023";"712153"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - Grand Est";"010567651";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"667885";"666776";"664925";"663923";"664254";"663327";"663072";"664766";"662402";"661827";"663275";"664540";"668028";"667826";"668941";"669535";"670203";"668683";"669931";"668252";"668362";"669137";"669168";"669255";"668879";"670456";"670502";"668076";"668026";"667943";"666224";"666655";"666056";"666053";"666376"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - Nouvelle-Aquitaine";"010567654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"702345";"703785";"704965";"703003";"704983";"704813";"707553";"709474";"712652";"712249";"715356";"718758";"723536";"723653";"725659";"727074";"727600";"726472";"728032";"727812";"728576";"730030";"730982";"733149";"733644";"735134";"736136";"736374";"736134";"735546";"734407";"733796";"736440";"736624";"736973"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - Occitanie";"010567655";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"672026";"670927";"672922";"671166";"672746";"674028";"677401";"677747";"677140";"679848";"681380";"684156";"690255";"691795";"694168";"697229";"697224";"696836";"700156";"699810";"702854";"702106";"704588";"708352";"710515";"712894";"713354";"714805";"714905";"714710";"713747";"715379";"715600";"716578";"719632"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - Auvergne-Rhône-Alpes";"010567656";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"892131";"892934";"893088";"890649";"894473";"896524";"899140";"901617";"903991";"907623";"911735";"909762";"916839";"916125";"918351";"918670";"923436";"922560";"925071";"925498";"926049";"925904";"928605";"930514";"930694";"932659";"932564";"932268";"930937";"931155";"928575";"928704";"929491";"929309";"930905"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Tertiaire non marchand (A5-OQ) - France métropolitaine";"010599701";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7559199";"7564942";"7568497";"7557137";"7564706";"7577374";"7589331";"7605065";"7603931";"7608659";"7631107";"7643867";"7698102";"7712422";"7715027";"7725804";"7746088";"7741890";"7760957";"7752831";"7761715";"7765852";"7781042";"7792083";"7798947";"7813115";"7818680";"7809794";"7801226";"7803548";"7787065";"7793444";"7797669";"7796906";"7809690"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - Bourgogne-Franche-Comté";"010567990";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"985878";"986694";"986455";"983974";"986675";"983001";"979080";"976278";"972812";"971557";"969963";"973511";"971119";"969681";"968913";"963913";"963898";"963193";"965006";"962347";"963262";"961338";"964156";"975785";"966598";"970438";"972931";"974147";"975213";"973873";"971230";"969222";"968886";"970152";"969496"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - Normandie";"010567991";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1171511";"1172084";"1172211";"1170118";"1171281";"1169047";"1167338";"1165515";"1161999";"1161348";"1155923";"1157794";"1156719";"1156448";"1158036";"1155766";"1154531";"1152869";"1152241";"1150798";"1151350";"1151035";"1151089";"1153505";"1153386";"1153473";"1156033";"1155022";"1155352";"1156671";"1156718";"1155757";"1158890";"1162053";"1163526"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - Hauts-de-France";"010567992";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2026684";"2029673";"2030180";"2025856";"2024327";"2022238";"2017774";"2010098";"2002323";"1999708";"1992461";"1997021";"2001052";"2001732";"2000187";"1994517";"1997807";"1996036";"1997292";"2001320";"2003233";"2003779";"2007551";"2013045";"2016652";"2017224";"2019817";"2023999";"2025612";"2024740";"2023636";"2025426";"2024885";"2030723";"2032670"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - Grand Est";"010567993";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1969415";"1971030";"1968103";"1962593";"1963543";"1957647";"1951176";"1947825";"1940109";"1934565";"1932299";"1931302";"1932127";"1931514";"1929950";"1925809";"1921749";"1916444";"1917523";"1917122";"1916109";"1917052";"1921680";"1923128";"1924000";"1928908";"1934524";"1935486";"1942218";"1943150";"1940790";"1940416";"1940125";"1944395";"1943647"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - Nouvelle-Aquitaine";"010567996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2028680";"2030971";"2035471";"2041146";"2035866";"2037183";"2036949";"2032287";"2037721";"2038113";"2034479";"2041316";"2050556";"2049355";"2052225";"2047547";"2048141";"2045066";"2050798";"2054981";"2056776";"2058131";"2065374";"2070574";"2075358";"2083965";"2091780";"2098545";"2106089";"2110823";"2113429";"2115954";"2122375";"2132441";"2137197"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - Occitanie";"010567997";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1878696";"1880165";"1888946";"1887387";"1886921";"1891421";"1894640";"1891487";"1890503";"1892455";"1890381";"1896450";"1903063";"1904714";"1907537";"1909408";"1912117";"1912291";"1919822";"1922592";"1930466";"1934768";"1942511";"1953088";"1961948";"1970590";"1979212";"1983634";"1991866";"1999112";"2000821";"2005970";"2011992";"2023777";"2032767"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - Auvergne-Rhône-Alpes";"010567998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2870110";"2876510";"2880413";"2873391";"2878916";"2882214";"2882595";"2888686";"2882683";"2886227";"2888260";"2893289";"2905590";"2904905";"2904821";"2899251";"2909888";"2904478";"2911543";"2914305";"2924056";"2928341";"2937276";"2948155";"2950622";"2963819";"2972983";"2979320";"2994579";"2999102";"2999429";"3005566";"3018397";"3028089";"3032591"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Ensemble des salariés - France métropolitaine";"010600319";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23810873";"23857704";"23890154";"23862857";"23878943";"23880795";"23871790";"23841869";"23813709";"23797088";"23769943";"23818221";"23891154";"23897654";"23905658";"23874336";"23898761";"23882217";"23941565";"23955591";"24000934";"24033783";"24102074";"24171267";"24200243";"24297467";"24380812";"24431006";"24523709";"24567872";"24580621";"24626261";"24687253";"24782832";"24836922"
